timestamp,date,time,symbol,option_type,strike,price,prev_price,price_change,price_change_pct,day_open,day_high,day_low,change_from_open,change_from_open_pct,dist_from_day_high,dist_from_day_low,nifty_spot,minutes_since_open,minutes_to_close,hour,minute,is_morning,is_midday,is_afternoon,move_1min,move_5min,move_15min,rsi,vwap,above_vwap,ema_bull,ema_bear,atr,adx,is_trending,vol_surge,pattern,candle_range,body_pct,is_bull_candle,is_bear_candle,big_move_up,big_move_down,medium_move_up,medium_move_down,move_in_next_1min,move_in_next_5min
2026-07-21T10:28:34.412525,2026-07-21,10:28:34,NIFTY21JUL2624150PE,PE,24150.0,24.85,24.85,0.0,0.0,24.85,24.85,24.85,0.0,0.0,0.0,0.0,24192.95,73,302,10,28,True,False,False,0.0,0.0,0.0,50.0,0.0,False,False,False,0.0,0.0,False,False,,0.0,0.0,False,False,False,False,False,False,0.0,-2.85
2026-07-21T10:28:59.964363,2026-07-21,10:28:59,NIFTY21JUL2624150PE,PE,24150.0,23.25,24.85,-1.6,-6.4386,24.85,24.85,23.25,-1.6,-6.4386,1.6,0.0,24195.1,73,302,10,28,True,False,False,0.0,0.0,0.0,50.0,0.0,False,False,False,0.0,0.0,False,False,,0.0,0.0,False,False,False,False,False,False,0.75,2.95
2026-07-21T10:29:25.714746,2026-07-21,10:29:25,NIFTY21JUL2624150PE,PE,24150.0,24.0,23.25,0.75,3.2258,24.85,24.85,23.25,-0.85,-3.4205,0.85,0.75,24195.95,74,301,10,29,True,False,False,-1.6,-1.6,-1.6,50.0,0.0,False,False,False,0.0,0.0,False,False,,0.0,0.0,False,False,False,False,False,False,0.0,2.65
2026-07-21T10:29:51.224704,2026-07-21,10:29:51,NIFTY21JUL2624150PE,PE,24150.0,22.0,24.0,-2.0,-8.3333,24.85,24.85,22.0,-2.85,-11.4688,2.85,0.0,24197.65,74,301,10,29,True,False,False,0.75,-0.85,-0.85,50.0,0.0,False,False,False,0.0,0.0,False,False,,0.0,0.0,False,False,False,False,False,False,1.55,5.3
2026-07-21T10:30:17.004590,2026-07-21,10:30:17,NIFTY21JUL2624150PE,PE,24150.0,23.4,22.0,1.4,6.3636,24.85,24.85,22.0,-1.45,-5.835,1.45,1.4,24199.0,75,300,10,30,True,False,False,-2.0,-2.85,-2.85,50.0,0.0,False,False,False,0.0,0.0,False,False,,0.0,0.0,False,False,False,False,False,False,0.15,4.35
2026-07-21T10:30:42.527554,2026-07-21,10:30:42,NIFTY21JUL2624150PE,PE,24150.0,23.55,23.4,0.15,0.641,24.85,24.85,22.0,-1.3,-5.2314,1.3,1.55,24197.3,75,300,10,30,True,False,False,1.4,-1.45,-1.45,50.0,0.0,False,False,False,0.0,0.0,False,False,,0.0,0.0,False,False,False,False,False,False,0.0,4.2
2026-07-21T10:31:08.099424,2026-07-21,10:31:08,NIFTY21JUL2624150PE,PE,24150.0,22.9,23.55,-0.65,-2.7601,24.85,24.85,22.0,-1.95,-7.8471,1.95,0.9,24200.45,76,299,10,31,True,False,False,0.15,-1.3,-1.3,50.0,0.0,False,False,False,0.0,0.0,False,False,,0.0,0.0,False,False,False,False,False,False,1.15,4.85
2026-07-21T10:31:33.620917,2026-07-21,10:31:33,NIFTY21JUL2624150PE,PE,24150.0,22.6,22.9,-0.3,-1.31,24.85,24.85,22.0,-2.25,-9.0543,2.25,0.6,24198.75,76,299,10,31,True,False,False,-0.65,-1.95,-1.95,50.0,0.0,False,False,False,0.0,0.0,False,False,,0.0,0.0,False,False,False,False,False,False,1.45,5.15
2026-07-21T10:31:59.108304,2026-07-21,10:31:59,NIFTY21JUL2624150PE,PE,24150.0,24.05,22.6,1.45,6.4159,24.85,24.85,22.0,-0.8,-3.2193,0.8,2.05,24195.15,76,299,10,31,True,False,False,-0.3,-2.25,-2.25,50.0,0.0,False,False,False,0.0,0.0,False,False,,0.0,0.0,False,False,False,False,False,False,0.05,3.7
2026-07-21T10:32:24.766485,2026-07-21,10:32:24,NIFTY21JUL2624150PE,PE,24150.0,23.65,24.05,-0.4,-1.6632,24.85,24.85,22.0,-1.2,-4.829,1.2,1.65,24197.4,77,298,10,32,True,False,False,1.45,-0.8,-0.8,50.0,0.0,False,False,False,0.0,0.0,False,False,,0.0,0.0,False,False,False,False,False,False,1.95,4.1
2026-07-21T10:32:50.279145,2026-07-21,10:32:50,NIFTY21JUL2624150PE,PE,24150.0,24.1,23.65,0.45,1.9027,24.85,24.85,22.0,-0.75,-3.0181,0.75,2.1,24195.6,77,298,10,32,True,False,False,-0.4,-1.2,-1.2,50.0,0.0,False,False,False,0.0,0.0,False,False,,0.0,0.0,False,False,False,False,False,False,2.1,3.65
2026-07-21T10:33:15.811398,2026-07-21,10:33:15,NIFTY21JUL2624150PE,PE,24150.0,25.6,24.1,1.5,6.2241,24.85,25.6,22.0,0.75,3.0181,0.0,3.6,24193.65,78,297,10,33,True,False,False,0.45,-0.75,-0.75,50.0,0.0,False,False,False,0.0,0.0,False,False,,0.0,0.0,False,False,False,False,False,False,1.05,2.15
2026-07-21T10:33:41.335029,2026-07-21,10:33:41,NIFTY21JUL2624150PE,PE,24150.0,26.2,25.6,0.6,2.3437,24.85,26.2,22.0,1.35,5.4326,0.0,4.2,24192.25,78,297,10,33,True,False,False,1.5,2.35,0.75,50.0,0.0,False,False,False,0.0,0.0,False,False,,0.0,0.0,False,False,False,False,False,False,1.1,1.55
2026-07-21T10:34:06.928008,2026-07-21,10:34:06,NIFTY21JUL2624150PE,PE,24150.0,26.65,26.2,0.45,1.7176,24.85,26.65,22.0,1.8,7.2435,0.0,4.65,24190.1,79,296,10,34,True,False,False,0.6,2.2,1.35,50.0,0.0,False,False,False,0.0,0.0,False,False,,0.0,0.0,False,False,False,False,False,False,1.1,5.25
2026-07-21T10:34:32.463742,2026-07-21,10:34:32,NIFTY21JUL2624150PE,PE,24150.0,27.3,26.65,0.65,2.439,24.85,27.3,22.0,2.45,9.8592,0.0,5.3,24188.5,79,296,10,34,True,False,False,0.45,4.65,1.8,50.0,0.0,False,False,False,0.0,0.0,False,False,,0.0,0.0,False,False,False,False,False,False,0.45,6.8
